node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category,is_new
L3_Nfdd2124b,L3,加快引进国内国际货运航司,auto-create,1,1.0,加快引进国内国际货运航司,keep,No existing parents available (Auto-init).,False,L1_N70e79b29,True
L3_N7d2d45d8,L3,冷链物流基建推进,classify-llm,1,0.85,冷链物流基建推进,keep,候选父节点聚焦货运航司引进，与冷链物流基础设施建设主题不一致；需新建更贴合的父节点,False,L1_N70e79b29,True
L3_N1c9477d5,L3,冷链物流标准建设,classify-llm,1,0.85,冷链物流标准建设,keep,子节点聚焦标准化体系构建，而候选父节点1侧重基建推进（如设施建设），语义不匹配；候选2完全偏离主题。需新建贴合‘标准制定/体系建设’的父节点。,False,L1_N70e79b29,True
L3_N0e93e380,L3,制造业融合促进,classify-llm,1,0.85,制造业融合促进,keep,候选父节点均聚焦基建、标准或航司引进，与‘制造业融合发展’主题不匹配；需新建上位节点以准确涵盖该战略方向,False,L1_N70e79b29,True
L3_N945a64d3,L3,加密货运航线,classify-llm,1,0.85,加密货运航线,keep,子节点聚焦于加密特定类型货运航线，而现有候选父节点分别侧重引进航司、冷链基建或制造业融合，均未直接涵盖航线加密这一操作性举措。新建标签‘加密货运航线’更准确反映子节点语义。,False,L1_N70e79b29,True
L3_Nc5166684,L3,加快提升揽货集货能力,seed-existing,1,1.0,加快提升揽货集货能力,keep,,False,L1_N52f6895e,
L3_Nf50b9a9d,L3,推进临空经济发展,seed-existing,1,1.0,推进临空经济发展,keep,,False,L1_N52f6895e,
L3_Nb1103d45,L3,促进信息资源互联共享,seed-existing,1,1.0,促进信息资源互联共享,keep,,False,L1_N52f6895e,
L3_N792037db,L3,优化简化货物安检流程,seed-existing,1,1.0,优化简化货物安检流程,keep,,False,L1_N52f6895e,
L3_N42402ab1,L3,提升口岸通关便利化水平,seed-existing,1,1.0,提升口岸通关便利化水平,keep,,False,L1_N52f6895e,
L3_Nea04744e,L3,加强国际机场与周边区域联动,seed-existing,1,1.0,加强国际机场与周边区域联动,keep,,False,L1_N52f6895e,
L3_N724f0a0b,L3,加强与重点产业园区对接,seed-existing,1,1.0,加强与重点产业园区对接,keep,,False,L1_N52f6895e,
L3_N2c29b561,L3,促进航空货运相关产业发展,seed-existing,1,1.0,促进航空货运相关产业发展,keep,,False,L1_N52f6895e,
L3_N97559905,L3,延伸航空物流链条,seed-existing,1,1.0,延伸航空物流链条,keep,,False,L1_N52f6895e,
L3_Nc3d125b3,L3,加强港区高效联动,seed-existing,1,1.0,加强港区高效联动,keep,,False,L1_N52f6895e,
L3_Nd93e3e25,L3,发展临空经济,seed-existing,1,1.0,发展临空经济,keep,,False,L1_N52f6895e,
L3_N07990008,L3,加快机场基础设施建设,seed-existing,1,1.0,加快机场基础设施建设,keep,,False,L1_N604d4c42,
L3_N133b0ed2,L3,推进集疏运体系建设,seed-existing,1,1.0,推进集疏运体系建设,keep,,False,L1_N604d4c42,
L3_Na5cf0ba6,L3,完善航空物流配套设施,seed-existing,1,1.0,完善航空物流配套设施,keep,,False,L1_N604d4c42,
L3_N84a28744,L3,打造高效便利的营商环境,seed-existing,1,1.0,打造高效便利的营商环境,keep,,False,L1_N604d4c42,
L3_N3ab0a1a9,L3,加快基础设施建设,merge-high,2,0.9,加快基础设施建设,keep,,False,L1_N604d4c42,
L3_N77a3b68b,L3,推进集疏运体系建设,seed-existing,1,1.0,推进集疏运体系建设,keep,,False,L1_N604d4c42,
L3_Nb148a883,L3,提升设施装备供给水平,seed-existing,1,1.0,提升设施装备供给水平,keep,,False,L1_N604d4c42,
L3_N48dcd88a,L3,助力基地航空公司发展,seed-existing,1,1.0,助力基地航空公司发展,keep,,False,L1_N604d4c42,
L3_N9815851a,L3,大力培育适航产业,seed-existing,1,1.0,大力培育适航产业,keep,,False,L1_N604d4c42,
L3_N8458a8a8,L3,完善航线网络布局,seed-existing,1,1.0,完善航线网络布局,keep,,False,L1_N604d4c42,
L3_N98ef0212,L3,优化货物运输组织,seed-existing,1,1.0,优化货物运输组织,keep,,False,L1_N604d4c42,
L3_Nc21e1f2f,L3,完善财政奖补机制,seed-existing,1,1.0,完善财政奖补机制,keep,,False,L1_N604d4c42,
L3_N71ce64b1,L3,积极争取政策倾斜,seed-existing,1,1.0,积极争取政策倾斜,keep,,False,L1_N604d4c42,
L3_Ne6cde812,L3,完善配套政策支持,seed-existing,1,1.0,完善配套政策支持,keep,,False,L1_N604d4c42,
L3_N1b187997,L3,提升航空货运智慧化水平,seed-existing,1,1.0,提升航空货运智慧化水平,keep,,False,L1_N6bbea948,
L3_Nbf5cb6ef,L3,提升航空货运安全韧性水平,seed-existing,1,1.0,提升航空货运安全韧性水平,keep,,False,L1_N6bbea948,
L3_N5b8fd671,L3,推动航空货运绿色低碳发展,seed-existing,1,1.0,推动航空货运绿色低碳发展,keep,,False,L1_N6bbea948,
L3_N09522c48,L3,推进智慧平台建设,seed-existing,1,1.0,推进智慧平台建设,keep,,False,L1_N6bbea948,
L3_Nfc162f8c,L3,加强新兴技术应用,seed-existing,1,1.0,加强新兴技术应用,keep,,False,L1_N6bbea948,
L3_N70eeee1d,L3,提升运营管理能力,seed-existing,1,1.0,提升运营管理能力,keep,,False,L1_N6bbea948,
