child_id,parent_id,decision,confidence,reason,human_parent_id,human_action,human_notes,is_new_parent
L4_Nd3a9b4af,L3_N97559905,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N97559905,review,,False
L4_Nf3f8f8c3,L3_N97559905,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N97559905,review,,False
L4_N0188902d,L3_N724f0a0b,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N724f0a0b,review,,False
L4_N832c0c49,L3_N97559905,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N97559905,review,,False
L4_N3494c85c,L3_N3494c85c,llm_create_parent,0.72,子节点聚焦‘简单加工+跨境电商服务’，而候选父节点均围绕物流、港区或揽货能力，语义重心不匹配；需新建更贴合‘跨境电商服务商’定位的父节点,L3_N3494c85c,keep,,True
L4_N198738ba,L3_N97559905,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N97559905,review,,False
L4_N3fa16235,L3_N97559905,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N97559905,review,,False
L4_N32b417e2,L3_N32b417e2,llm_create_parent,0.82,候选父节点均聚焦物流或电商拓展，与‘打造生鲜交易中心’这一实体市场建设目标语义不匹配；需新建更贴合的上位节点,L3_N32b417e2,keep,,True
L4_Naf94a663,L3_Nc3d125b3,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Nc3d125b3,review,,False
L4_N69265178,L3_N97559905,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N97559905,review,,False
L4_N5a060ef1,L3_Nd93e3e25,llm_assign,0.85,‘加快临空产业园建设’是‘发展临空经济’的具体举措之一，语义高度相关，且cos相似度达0.96，尽管Jaccard较低，但整体主题一致,L3_Nd93e3e25,keep,,False
L4_N1513dd0d,L3_Nd93e3e25,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Nd93e3e25,review,,False
L4_Nc28ba84f,L3_Nd93e3e25,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Nd93e3e25,review,,False
L4_N59784fee,L3_Ne6cde812,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Ne6cde812,review,,False
L4_Nada24d28,L3_Ne6cde812,llm_assign,0.75,子节点聚焦于对两个枢纽发展的政策支持强化，与候选父节点1“完善配套政策支持”在语义和目标对象上高度契合；尽管Jaccard相似度较低，但余弦相似度高（0.92），表明文本表述接近，且“配套政策支持”可合理涵盖针对特定枢纽的政策强化措施。,L3_Ne6cde812,keep,,False
L4_N6c7fdcaf,L3_Ne6cde812,llm_assign,0.75,候选1‘完善配套政策支持’在语义上最贴近‘强化电子商务发展政策支持’，均聚焦于政策支持的完善与加强，且余弦相似度高达0.93，尽管Jaccard较低，但整体综合得分最高，主题一致性强。,L3_Ne6cde812,keep,,False
L4_N96f6c2a8,L3_N09522c48,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N09522c48,review,,False
L4_Ne55e384d,L3_Ne55e384d,llm_create_parent,0.75,候选父节点语义偏宏观（如智慧平台、运营管理、新兴技术），未聚焦‘单据电子化’这一具体任务；且Jaccard相似度极低，说明成员重合度差，宜新建精准父节点,L3_Ne55e384d,keep,,True
L4_N1244f6cb,L3_Ne55e384d,llm_assign,0.85,子节点聚焦单据标准化，与候选1‘单据电子化建设’在对象（单据）和目标（规范化/数字化）上高度一致，语义重合度高；其余候选主题更宽泛或偏离单据核心,L3_Ne55e384d,keep,,False
L4_N6e9da33c,L3_N1b187997,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N1b187997,review,,False
L4_Nea0a385e,L3_Ne42076c0,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Ne42076c0,review,,False
L4_N6b11fc79,L3_N1b187997,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N1b187997,review,,False
L4_N48c963e1,L3_Ne42076c0,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Ne42076c0,review,,False
L4_Na35a474b,L3_N09522c48,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N09522c48,review,,False
L4_N08407b0e,L3_N70eeee1d,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N70eeee1d,review,,False
L4_N8648b9f1,L3_N4b540045,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N4b540045,review,,False
L4_N5edfd835,L3_N4b540045,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N4b540045,review,,False
L4_N34f6aab4,L3_N53ff6178,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N53ff6178,review,,False
L4_Nfb48b97b,L3_Nfb48b97b,llm_create_parent,0.82,子节点强调‘联动发展’，而候选父节点分别侧重基地建设、临空产业或通关便利化，均未涵盖两者协同主题；需新建更精准父节点,L3_Nfb48b97b,keep,,True
L4_N9273a814,L3_N7e9ff5f6,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N7e9ff5f6,review,,False
L4_N6c65c54a,L3_Nce212504,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Nce212504,review,,False
L4_Nfa586cf7,L3_N7e9ff5f6,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N7e9ff5f6,review,,False
L4_N30b235c2,L3_N06f95f57,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N06f95f57,review,,False
L4_N255c1775,L3_N06f95f57,llm_assign,0.89,候选1语义高度匹配，包含'客货枢纽建设'且强调系统推进，与子节点'推进客货枢纽建设'在动作和对象上一致,L3_N06f95f57,keep,,False
L4_N3220a070,L3_N8b934feb,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N8b934feb,review,,False
L4_Nf737d76d,L3_Ne96a4ba3,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Ne96a4ba3,review,,False
L4_Nc38e3e2b,L3_N06f95f57,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_N06f95f57,review,,False
L4_N4b0d0e0c,L3_Ne96a4ba3,llm_assign,0.72,子节点聚焦空港口岸海关监管场地布局优化，属于航空货运基础设施的组成部分；候选1‘增强航空货运基础保障能力’在语义上最贴近，且cos相似度高达0.91，尽管Jaccard较低，但整体主题一致,L3_Ne96a4ba3,keep,,False
L4_Nef2378d9,L3_Ne96a4ba3,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Ne96a4ba3,review,,False
L4_N848f47e5,L3_Ne96a4ba3,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Ne96a4ba3,review,,False
L4_Na052476c,L3_Nd571b089,fallback_top1,0.0,"LLM未明确或匹配失败(raw_assign=None), 采用Top1",L3_Nd571b089,review,,False
