node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category
L4_N9596affd,L4,积极推进机场各货运区规划建设,seed-existing,1,1.0,积极推进机场各货运区规划建设,keep,,False,L1_N32b4d1be
L4_Nc0927f0b,L4,稳步推进货运基础设施建设,seed-existing,1,1.0,稳步推进货运基础设施建设,keep,,False,L1_N32b4d1be
L4_N2720f054,L4,补齐机场设施短板,seed-existing,1,1.0,补齐机场设施短板,keep,,False,L1_N32b4d1be
L4_Ndfac356a,L4,规划配置货机位,seed-existing,1,1.0,规划配置货机位,keep,,False,L1_N32b4d1be
L4_N5fc249ab,L4,规划配置陆侧道路,seed-existing,1,1.0,规划配置陆侧道路,keep,,False,L1_N32b4d1be
L4_N6bfccf65,L4,规划配置空侧道路,seed-existing,1,1.0,规划配置空侧道路,keep,,False,L1_N32b4d1be
L4_Nbc7f4787,L4,推进保税物流园区建设,seed-existing,1,1.0,推进保税物流园区建设,keep,,False,L1_N32b4d1be
L4_N6834f90a,L4,推进跨境电商园区建设,seed-existing,1,1.0,推进跨境电商园区建设,keep,,False,L1_N32b4d1be
L4_Nb11795db,L4,开通贸易密切城市航线,seed-existing,1,1.0,开通贸易密切城市航线,keep,,False,L1_N47d528f3
L4_N945a64d3,L4,加密货源丰富地区航线,seed-existing,1,1.0,加密货源丰富地区航线,keep,,False,L1_N47d528f3
L4_Na37f8214,L4,引导国际货运航线布局与制造业需求对接,seed-existing,1,1.0,引导国际货运航线布局与制造业需求对接,keep,,False,L1_N47d528f3
L4_Ne346220c,L4,提升国际航空货运枢纽全球响应能力,seed-existing,1,1.0,提升国际航空货运枢纽全球响应能力,keep,,False,L1_N47d528f3
L4_N27d838ea,L4,构建双扇形航线网络布局,seed-existing,1,1.0,构建双扇形航线网络布局,keep,,False,L1_N47d528f3
L4_Nb967aed3,L4,加强与国际机场合作,seed-existing,1,1.0,加强与国际机场合作,keep,,False,L1_N47d528f3
L4_Nbf72ad46,L4,开展多形式中转业务,seed-existing,1,1.0,开展多形式中转业务,keep,,False,L1_N47d528f3
L4_N6aba220c,L4,开展多渠道中转业务,seed-existing,1,1.0,开展多渠道中转业务,keep,,False,L1_N47d528f3
L4_Nfdd2124b,L4,加快引进国内国际货运航司,seed-existing,1,1.0,加快引进国内国际货运航司,keep,,False,L1_N47d528f3
L4_Nd79ac9d1,L4,加快引进快递企业航司,seed-existing,1,1.0,加快引进快递企业航司,keep,,False,L1_N47d528f3
L4_Nc2b08089,L4,积极引进新兴货运航司,seed-existing,1,1.0,积极引进新兴货运航司,keep,,False,L1_N47d528f3
L4_N31c774ef,L4,加强与货运航空公司合作,seed-existing,1,1.0,加强与货运航空公司合作,keep,,False,L1_N47d528f3
L4_Na5c9f759,L4,以运力发展带动航线布局,seed-existing,1,1.0,以运力发展带动航线布局,keep,,False,L1_N47d528f3
L4_N2d19c279,L4,引育优质货运代理,seed-existing,1,1.0,引育优质货运代理,keep,,False,L1_N47d528f3
L4_N3bc888c0,L4,引育大型电商物流企业,seed-existing,1,1.0,引育大型电商物流企业,keep,,False,L1_N47d528f3
L4_N6bcc2030,L4,构建高效的航空物流地面集散体系,seed-existing,1,1.0,构建高效的航空物流地面集散体系,keep,,False,L1_N47d528f3
L4_N0d91d293,L4,延伸货运服务,seed-existing,1,1.0,延伸货运服务,keep,,False,L1_N47d528f3
L4_N3ac13c17,L4,探索异地货站模式,seed-existing,1,1.0,探索异地货站模式,keep,,False,L1_N47d528f3
L4_Na8ba2f4a,L4,借鉴先进经验探索开展多式联运,seed-existing,1,1.0,借鉴先进经验探索开展多式联运,keep,,False,L1_N47d528f3
L4_Nd3a9b4af,L4,与快递企业深度合作,seed-existing,1,1.0,与快递企业深度合作,keep,,False,L1_N52f6895e
L4_Nf3f8f8c3,L4,实现门到门服务,seed-existing,1,1.0,实现门到门服务,keep,,False,L1_N52f6895e
L4_N0188902d,L4,建设跨境产业园,seed-existing,1,1.0,建设跨境产业园,keep,,False,L1_N52f6895e
L4_N832c0c49,L4,打造中国东盟跨境电商综合服务平台,seed-existing,1,1.0,打造中国东盟跨境电商综合服务平台,keep,,False,L1_N52f6895e
L4_N3494c85c,L4,提供简单加工等服务,seed-existing,1,1.0,提供简单加工等服务,keep,,False,L1_N52f6895e
L4_N04e09dc2,L4,成为东盟跨境电商的核心服务商,seed-existing,1,1.0,成为东盟跨境电商的核心服务商,keep,,False,L1_N52f6895e
L4_N198738ba,L4,打造生鲜集散中心,seed-existing,1,1.0,打造生鲜集散中心,keep,,False,L1_N52f6895e
L4_N3fa16235,L4,打造生鲜加工中心,seed-existing,1,1.0,打造生鲜加工中心,keep,,False,L1_N52f6895e
L4_N32b417e2,L4,打造生鲜交易中心,seed-existing,1,1.0,打造生鲜交易中心,keep,,False,L1_N52f6895e
L4_Naf94a663,L4,推动区港联动,seed-existing,1,1.0,推动区港联动,keep,,False,L1_N52f6895e
L4_N96f6c2a8,L4,加快构建智慧航空物流综合服务平台,seed-existing,1,1.0,加快构建智慧航空物流综合服务平台,keep,,False,L1_Ne2bd7697
L4_Ne55e384d,L4,统筹单据电子化建设,seed-existing,1,1.0,统筹单据电子化建设,keep,,False,L1_Ne2bd7697
L4_N1244f6cb,L4,统筹单据标准化建设,seed-existing,1,1.0,统筹单据标准化建设,keep,,False,L1_Ne2bd7697
L4_N6e9da33c,L4,实施航空货运全流程定位追踪,seed-existing,1,1.0,实施航空货运全流程定位追踪,keep,,False,L1_Ne2bd7697
L4_Nea0a385e,L4,实现货物状态可视化,seed-existing,1,1.0,实现货物状态可视化,keep,,False,L1_Ne2bd7697
L4_N6b11fc79,L4,打造良好的航空货运社区,seed-existing,1,1.0,打造良好的航空货运社区,keep,,False,L1_Ne2bd7697
L4_N48c963e1,L4,引入资金,seed-existing,1,1.0,引入资金,keep,,False,L1_Ne2bd7697
L4_Na35a474b,L4,引入战略投资者,seed-existing,1,1.0,引入战略投资者,keep,,False,L1_Ne2bd7697
L4_N08407b0e,L4,增强经营实力,seed-existing,1,1.0,增强经营实力,keep,,False,L1_Ne2bd7697
