child_id,parent_id,decision,confidence,reason,human_parent_id,human_action,human_notes,is_new_parent
L4_N9596affd,L3_Na4101ee7,fallback_top1,0.0,LLM未明确，采用Top1,L3_Na4101ee7,review,,False
L4_Nc0927f0b,L3_Na4101ee7,fallback_top1,0.0,LLM未明确，采用Top1,L3_Na4101ee7,review,,False
L4_N2720f054,L3_Na4101ee7,fallback_top1,0.0,LLM未明确，采用Top1,L3_Na4101ee7,review,,False
L4_Ndfac356a,L3_N2123971e,fallback_top1,0.0,LLM未明确，采用Top1,L3_N2123971e,review,,False
L4_N5fc249ab,L3_N2123971e,fallback_top1,0.0,LLM未明确，采用Top1,L3_N2123971e,review,,False
L4_N6bfccf65,L3_N2123971e,fallback_top1,0.0,LLM未明确，采用Top1,L3_N2123971e,review,,False
L4_Nbc7f4787,L3_Na4101ee7,fallback_top1,0.0,LLM未明确，采用Top1,L3_Na4101ee7,review,,False
L4_N6834f90a,L3_Na4101ee7,fallback_top1,0.0,LLM未明确，采用Top1,L3_Na4101ee7,review,,False
L4_Nb11795db,L3_Nf3b017a0,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nf3b017a0,review,,False
L4_N945a64d3,L3_Nf3b017a0,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nf3b017a0,review,,False
L4_Na37f8214,L3_Nf3b017a0,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nf3b017a0,review,,False
L4_Ne346220c,L3_Nf3b017a0,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nf3b017a0,review,,False
L4_N27d838ea,L3_N198ad664,fallback_top1,0.0,LLM未明确，采用Top1,L3_N198ad664,review,,False
L4_Nb967aed3,L3_Nf3b017a0,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nf3b017a0,review,,False
L4_Nbf72ad46,L3_N82cdf37d,fallback_top1,0.0,LLM未明确，采用Top1,L3_N82cdf37d,review,,False
L4_N6aba220c,L3_N82cdf37d,fallback_top1,0.0,LLM未明确，采用Top1,L3_N82cdf37d,review,,False
L4_Nfdd2124b,L3_Nc97533ee,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nc97533ee,review,,False
L4_Nd79ac9d1,L3_Nc97533ee,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nc97533ee,review,,False
L4_Nc2b08089,L3_Nc97533ee,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nc97533ee,review,,False
L4_N31c774ef,L3_Nf3b017a0,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nf3b017a0,review,,False
L4_Na5c9f759,L3_Nc97533ee,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nc97533ee,review,,False
L4_N2d19c279,L3_N0f65b0c3,fallback_top1,0.0,LLM未明确，采用Top1,L3_N0f65b0c3,review,,False
L4_N3bc888c0,L3_N0f65b0c3,fallback_top1,0.0,LLM未明确，采用Top1,L3_N0f65b0c3,review,,False
L4_N6bcc2030,L3_Na1b5b8e4,fallback_top1,0.0,LLM未明确，采用Top1,L3_Na1b5b8e4,review,,False
L4_N0d91d293,L3_N56344298,fallback_top1,0.0,LLM未明确，采用Top1,L3_N56344298,review,,False
L4_N3ac13c17,L3_Nd290d812,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nd290d812,review,,False
L4_Na8ba2f4a,L3_Nd290d812,llm_assign,0.86,候选父节点1与子节点在语义和表述上高度一致，核心内容均为‘探索开展多式联运’，仅子节点多了‘借鉴先进经验’这一方式性修饰，不影响归属,L3_Nd290d812,keep,,False
L4_Nd3a9b4af,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_Nf3f8f8c3,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_N0188902d,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_N832c0c49,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_N3494c85c,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_N04e09dc2,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_N198738ba,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_N3fa16235,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_N32b417e2,L3_N97559905,fallback_top1,0.0,LLM未明确，采用Top1,L3_N97559905,review,,False
L4_Naf94a663,L3_Nc3d125b3,llm_assign,0.89,候选1语义高度匹配，'加强港区高效联动'与'推动区港联动'在目标和对象上一致，cos相似度极高（0.97），尽管Jaccard较低，但综合得分支持归属,L3_Nc3d125b3,keep,,False
L4_N96f6c2a8,L3_N09522c48,fallback_top1,0.0,LLM未明确，采用Top1,L3_N09522c48,review,,False
L4_Ne55e384d,L3_N09522c48,fallback_top1,0.0,LLM未明确，采用Top1,L3_N09522c48,review,,False
L4_N1244f6cb,L3_N09522c48,fallback_top1,0.0,LLM未明确，采用Top1,L3_N09522c48,review,,False
L4_N6e9da33c,L3_Nfc162f8c,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nfc162f8c,review,,False
L4_Nea0a385e,L3_Nfc162f8c,fallback_top1,0.0,LLM未明确，采用Top1,L3_Nfc162f8c,review,,False
L4_N6b11fc79,L3_N70eeee1d,fallback_top1,0.0,LLM未明确，采用Top1,L3_N70eeee1d,review,,False
L4_N48c963e1,L3_N09522c48,fallback_top1,0.0,LLM未明确，采用Top1,L3_N09522c48,review,,False
L4_Na35a474b,L3_N09522c48,fallback_top1,0.0,LLM未明确，采用Top1,L3_N09522c48,review,,False
L4_N08407b0e,L3_N70eeee1d,fallback_top1,0.0,LLM未明确，采用Top1,L3_N70eeee1d,review,,False
