node_id,member_id
L3_N48dcd88a,DF1176_00024_01
L3_N9815851a,DF1176_00026_01
L3_Nbccd8d12,DF1176_00044_01
L3_N8b934feb,DF1176_00046_01
L3_Na4101ee7,DF1759_00085_01
L3_N2123971e,DF1759_00091_01
L3_Nb0e7dd4f,DF1759_00118_01
L3_N4217ca37,ZY0103_00030_01
L3_N9a4920b0,ZY0103_00032_01
L3_N2e5f08e0,ZY0103_00034_01
L3_N47efd62f,ZY0103_00036_01
L3_Ndfa51e03,ZY0103_00039_01
L3_N8aec14d5,ZY0103_00041_01
L3_Nde73eebf,ZY0103_00043_01
L3_Ne477efa0,ZY0103_00045_01
L3_Na1b5b8e4,DF1176_00034_01
L3_Nd3c80123,DF1176_00036_01
L3_N82cdf37d,DF1176_00039_01
L3_Nc92a3618,DF1176_00041_01
L3_Nf3b017a0,DF1759_00056_01
L3_N198ad664,DF1759_00061_01
L3_Nc97533ee,DF1759_00074_01
L3_N0f65b0c3,DF1759_00122_01
L3_N65606e29,DF1759_00125_01
L3_Nd290d812,DF1759_00130_01
L3_Nf2262c1d,ZY0103_00021_01
L3_N43f95e79,ZY0103_00021_02
L3_Nff8b1407,ZY0103_00023_01
L3_N56344298,ZY0103_00025_01
L3_N6207c89d,ZY0103_00027_01
L3_N97559905,DF1759_00166_01
L3_Nc3d125b3,DF1759_00174_01
L3_N8283673b,DF1176_00029_01
L3_Nce212504,DF1176_00031_01
L3_Neafdb444,DF1176_00049_01
L3_N60701309,DF1176_00051_01
L3_N09522c48,DF1759_00140_01
L3_Nfc162f8c,DF1759_00145_01
L3_N70eeee1d,DF1759_00150_01
