node_id,member_id
L2_N649ec6c7,DF0009_00028_01
L2_Na75f0b05,DF0009_00032_02
L2_Nfab45a1f,DF0009_00011_01
L2_Nd8a500a1,DF0009_00014_01
L2_N0a6e8ca5,DF0009_00017_01
L2_N9f46f3fd,DF0009_00036_01
L2_Nb22f5139,DF0009_00039_01
L2_Nfeea0571,DF0403_00032_01
L2_Nb80d9c6e,DF0403_00032_02
L2_Nff3b5230,DF1176_00023_01
L2_N3d4844b8,DF1176_00043_01
L2_N13abaa5a,DF1759_00083_01
L2_Nc01148b0,ZY0103_00020_01
L2_N45607115,ZY0103_00029_01
L2_N77ba01f7,ZY0103_00038_01
L2_N466127b4,DF0009_00022_01
L2_N1f3bd9b5,DF0009_00025_01
L2_N9a2b3002,DF0403_00012_01
L2_N8c3b0cad,DF0403_00012_02
L2_Nd77a7607,DF0403_00019_01
L2_N9ef25cc0,DF0403_00019_02
L2_N69b20189,DF0403_00027_01
L2_Ne4cef915,DF0403_00027_02
L2_N2f32c229,DF1176_00033_01
L2_N2f1afa59,DF1176_00038_01
L2_Nbfebbffa,DF1759_00054_01
L2_N68c2aa93,DF1759_00120_01
L2_N7d4bb1b0,ZY0103_00020_02
L2_Nd825449f,DF1759_00164_01
L2_N4db8aea7,DF0403_00019_03
L2_N9e86e873,DF0403_00038_01
L2_N33b2d022,DF0403_00038_02
L2_Nbde783bd,DF1176_00028_01
L2_N55017dad,DF1176_00048_01
L2_N6dbdd1f8,DF1176_00048_02
L2_Ne1879105,DF0009_00032_01
L2_Nfdcfd3c4,DF1759_00138_01
L2_Nc3d125b3,DF1759_00174_01
